
county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson
*,6913,1344,12047,253544,1584,72863,20750,5088,154298,4271,,,,,,,,,
*,6913,1352,,,,,,,,,98929,78151,991,1241,202145,19025,181995,507,9097
Alachua,69,56,127,5297,54,2557,62,131,7431,165,776,2195,11,32,3406,540,2904,3,60
Baker,9,9,41,833,26,1247,43,36,507,105,124,566,4,2,454,57,742,0,45
Bay,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradford,19,12,44,747,25,826,30,20,523,91,107,500,1,8,396,31,469,0,36
Brevard,216,134,303,18391,157,6383,135,196,11087,322,6927,6683,75,119,18924,2111,16229,41,393
Broward,791,1,327,27176,72,4180,58,350,9692,200,5024,1999,60,55,7219,647,4350,38,428
Calhoun,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,80,1,19,973,9,235,5,16,222,11,486,336,11,13,887,114,765,4,112
Citrus,41,37,155,9192,71,3277,51,82,3480,174,2812,3582,38,42,7756,673,6920,21,346
Clay,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collier,94,1,86,4537,24,1135,16,70,1851,69,4872,1615,28,33,6136,510,9542,22,644
Columbia,25,1,5,152,5,123,4,2,66,10,31,92,1,1,107,4,129,0,1
DeSoto,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dixie,10,0,,,,,,,,,0,0,0,0,0,0,0,0,0
Dixie,10,2,24,836,20,620,24,22,289,63,,,,,,,,,
Duval,303,0,190,7059,66,2832,65,143,6601,209,2796,3024,45,49,4765,629,6591,11,799
Escambia,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flagler,36,29,66,4304,23,1312,14,30,2456,47,1452,1039,12,15,3328,239,3550,6,85
Franklin,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadsden,25,0,23,794,5,494,14,26,1258,32,,,,,,,,,
Gadsden,25,1,,,,,,,,,55,88,3,0,165,17,121,0,17
Gilchrist,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glades,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulf,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardee,12,4,7,136,2,97,5,1,137,5,14,40,0,1,54,3,44,0,1
Hendry,23,21,22,657,14,410,9,7,376,28,114,228,3,4,471,28,383,0,5
Hernando,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highlands,25,0,40,1793,12,573,5,15,464,24,484,641,7,4,1483,75,1326,5,117
Hillsborough,361,1,75,3777,30,1008,28,69,1754,84,1278,1017,27,24,2210,217,1492,5,290
Holmes,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian River,54,1,73,2419,13,741,12,36,881,53,1772,940,17,21,2949,267,2865,18,204
Jackson,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,15,0,18,361,6,315,6,8,414,25,43,82,1,1,160,13,117,0,8
Lafayette,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,102,1,122,4944,18,1651,24,58,1419,100,2328,3248,47,29,3877,417,4289,23,506
Lee,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon,165,36,115,5251,40,2711,52,108,8958,160,705,1368,7,24,3436,430,2476,3,55
Levy,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberty,8,7,,,,,,,,,6,29,1,0,40,2,39,0,1
Liberty,8,8,12,397,6,459,17,8,170,45,,,,,,,,,
Madison,11,1,4,56,0,43,43,1,127,3,0,11,0,0,8,3,6,0,0
Manatee,136,134,257,13774,76,3935,73,156,8042,173,6600,5246,57,83,15528,1353,14621,37,427
Marion,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin,53,2,94,2248,13,611,6,35,828,61,1887,1118,45,36,3132,413,2422,24,255
Miami-Dade,744,1,190,13175,61,2059,62,174,6834,238,13148,1761,58,72,12770,458,2648,47,438
Monroe,33,32,72,4087,20,1170,17,64,2435,61,1484,704,18,15,4126,284,2150,7,152
Nassau,21,21,72,2577,33,1638,32,34,1900,91,1142,2572,9,17,3722,337,4581,7,183
Okaloosa,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okeechobee,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange,261,240,8022,32156,207,6228,19431,2251,31943,350,7702,9929,95,130,19304,1990,19323,38,574
Osceola,101,68,17,2039,10,541,3,15,853,17,364,727,2,10,1287,104,1250,0,19
Palm Beach,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasco,153,130,329,19550,122,4764,100,209,6949,322,6966,5287,59,80,15243,1170,12181,32,567
Pinellas,371,2,250,9119,48,2152,35,182,3483,181,5327,3193,62,59,7428,1023,6116,28,712
Polk,166,1,19,1634,10,497,9,16,570,28,450,661,4,2,801,72,977,2,114


Putnam,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Rosa,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarasota,157,134,241,16662,61,4168,76,202,10179,172,7972,4507,57,77,20220,2109,16989,26,339
