Pan Africa Market,"1521 1st Ave, Seattle, WA",0.0,0.0,restaurant
Buddha Thai & Bar,"2222 2nd Ave, Seattle, WA",0.0,0.0,bar
The Melting Pot,"14 Mercer St, Seattle, WA",0.0,0.0,restaurant
Ipanema Grill,"1225 1st Ave, Seattle, WA",0.0,0.0,restaurant
Sake House,"2230 1st Ave, Seattle, WA",0.0,0.0,bar
Crab Pot,"1301 Alaskan Way, Seattle, WA"0.0,0.0,restaurant
Mama's Mexican Kitchen,"2234 2nd Ave, Seattle, WA",0.0,0.0,bar
Wingdome,"1416 E Olive Way, Seattle, WA",0.0,0.0,bar
Piroshky Piroshky,"1908 Pike pl, Seattle, WA",0.0,0.0,restaurant
