
county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson
*,6913,6900,15426,856944,5402,248575,5261,9535,568930,14782,281755,259703,2787,4003,693425,62060,598152,1556,22287
Alachua,69,69,288,11681,99,5310,132,361,14638,389,1806,4166,27,57,6637,1125,5440,7,321
Baker,9,9,41,833,26,1247,43,36,507,105,124,566,4,2,454,57,742,0,45
Bay,55,55,222,5636,76,3903,91,103,4349,278,2204,4746,30,38,7296,826,7537,11,405
Bradford,19,19,61,1081,31,1128,39,29,913,117,145,701,1,9,606,54,721,0,42
Brevard,216,216,564,31675,238,10620,232,362,18395,552,12215,11587,160,231,31320,3621,27001,69,1033
Broward,791,785,1298,106669,375,15981,264,824,61034,840,18636,10279,178,208,40575,3057,23885,114,860
Calhoun,18,18,29,875,12,848,23,24,407,80,29,165,1,0,216,18,112,0,11
Charlotte,80,80,143,9236,64,2521,30,93,3130,109,3823,2430,27,50,9768,807,8345,25,431
Citrus,41,41,171,9718,74,3529,59,85,3760,187,2943,3805,38,44,8200,717,7233,24,353
Clay,61,61,126,4834,46,2313,41,80,3627,144,2937,5144,42,61,9358,668,13444,23,402
Collier,94,94,195,9759,56,2549,28,113,5119,162,8591,3650,52,70,15052,1203,23263,36,739
Columbia,25,25,115,2562,42,2151,60,65,1825,157,521,1538,1,22,1562,134,1886,0,119
DeSoto,15,15,39,1261,10,874,17,12,615,61,162,290,3,6,576,47,566,1,28
Dixie,10,10,24,873,21,679,26,23,300,72,50,199,1,4,234,17,227,0,15
Duval,303,303,678,27238,275,12125,258,416,40830,798,9541,13827,88,152,24104,2677,36645,41,1221
Escambia,90,90,322,9996,106,6691,127,175,13031,487,3017,9491,45,164,15121,2170,11391,26,872
Flagler,36,36,75,5235,30,1517,17,32,3022,54,1786,1219,13,18,3996,271,4215,7,85
Franklin,8,8,42,889,12,639,17,18,545,56,86,132,1,1,299,21,225,1,25
Gadsden,25,25,102,2456,28,1470,31,61,5287,113,139,345,3,4,579,64,454,1,30
Gilchrist,10,10,27,852,15,788,22,25,365,64,100,493,3,2,467,61,461,1,30
Glades,13,13,20,646,14,367,11,15,238,28,60,146,1,0,280,17,206,0,3
Gulf,8,8,45,731,14,745,26,15,495,59,94,311,1,1,499,29,373,3,20
Hamilton,8,8,45,568,14,574,22,12,645,45,37,169,0,0,201,14,115,1,12
Hardee,12,12,34,830,16,780,27,14,363,37,89,349,3,1,432,31,303,0,22
Hendry,23,23,32,1105,20,652,12,19,740,45,209,367,7,7,713,52,523,0,22
Hernando,56,56,147,12495,66,3143,53,96,4496,156,4122,3285,21,54,9042,812,7259,20,255
Highlands,25,25,100,4972,35,1898,27,41,2055,98,1355,1925,15,21,4889,247,4905,7,161
Hillsborough,361,361,872,42993,338,12770,351,663,36151,813,15849,12839,140,229,37804,2807,30548,61,1187
Holmes,8,8,59,835,23,1363,32,30,299,122,80,429,3,1,405,38,246,0,22
Indian River,54,54,138,5751,37,1810,37,66,3116,101,3774,2436,25,43,8332,787,8354,32,270
Jackson,25,25,120,2308,74,2466,66,73,2372,192,218,1005,8,9,1053,61,598,1,54
Jefferson,15,15,38,918,15,754,16,18,1285,59,84,244,2,1,439,43,275,0,17
Lafayette,5,5,24,404,8,636,12,9,140,41,12,124,0,1,149,12,84,0,11
Lake,102,102,273,14939,76,4752,73,120,6784,220,5141,9013,75,86,14733,1091,14881,41,615
Lee,173,173,426,23788,133,6669,104,218,10883,265,12067,7461,60,141,28096,2439,34138,72,1056
Leon,165,165,400,14540,114,7504,143,333,21082,480,2370,4286,50,68,9550,1111,6650,11,474
Levy,20,20,100,2235,40,1653,56,44,1230,141,319,930,11,9,1102,132,928,3,71
Liberty,8,8,12,397,6,459,17,8,170,45,8,44,1,0,52,3,49,0,8
Madison,11,11,60,1083,23,945,26,23,1193,78,45,293,1,2,306,26,166,0,11
Manatee,136,136,269,14369,79,4155,74,164,8455,182,6811,5455,59,91,16134,1398,15153,37,431
Marion,151,151,411,17980,146,6555,128,202,9719,292,5025,9246,107,114,14741,1618,15715,54,501
Martin,53,53,168,6457,46,1831,27,86,3505,114,4218,2868,60,86,10115,1229,8386,38,325
Miami-Dade,744,744,1240,90846,363,11446,410,742,70012,1039,40251,9154,319,390,75516,2936,23936,217,1125
Monroe,33,33,72,4176,21,1201,17,65,2478,62,1507,729,19,15,4266,291,2232,7,154
Nassau,21,21,72,2577,33,1638,32,34,1900,91,1142,2572,9,17,3722,338,4583,7,183
Okaloosa,52,52,133,3806,54,2380,46,84,3642,198,2535,6568,38,106,13811,1751,9821,12,505
Okeechobee,18,18,37,2024,28,1026,30,20,610,81,254,748,4,2,969,40,443,2,32
Orange,261,261,510,42602,177,9252,221,370,34452,470,12741,15697,146,184,29592,2965,29145,69,1084
Osceola,101,101,91,11113,46,2226,26,57,4470,101,2269,3221,24,31,5558,426,5356,11,197
Palm Beach,752,752,1221,82475,355,13024,207,536,38301,577,15975,8273,157,207,38479,3374,29232,93,535
Pasco,153,153,380,23440,147,5816,123,247,9091,366,8572,6688,69,96,18935,1460,15433,34,607
Pinellas,371,371,886,48393,273,10777,245,619,30944,622,19188,12285,160,210,43767,4961,34834,99,1096
Polk,166,166,394,24443,166,9159,196,209,12990,493,5547,11151,65,98,20112,1352,18127,38,570
Putnam,56,56,127,4057,73,3073,74,83,2546,228,474,1457,10,16,2095,169,1992,2,102
Santa Rosa,41,41,108,3725,46,2881,46,61,2497,177,1696,6276,36,49,9596,1205,6704,21,397
Sarasota,157,157,337,21604,82,5511,90,282,12545,226,10496,6082,82,102,25685,2612,21727,40,627
Seminole,126,126,222,16545,79,4651,72,186,11631,203,7441,9141,82,93,17196,1722,19033,36,573


St. Johns,46,46,140,6948,40,2580,50,114,5301,146,4731,4318,28,55,10296,937,15587,23,397
St. Lucie,80,80,267,14817,96,3703,66,119,8076,178,5356,3400,45,51,9258,996,7434,27,465
Sumter,42,42,143,5598,56,2121,31,59,2151,122,2860,1996,21,41,4835,208,6945,7,261
